run,inicio_aleatorio,destino_aleatorio,algoritimo,nos_expandidos,memoria_usada,fator_de_ramificacao,tempo_execucao
10,"(34.473536, -117.55524)","(45.832032, -106.14228)",UCS,236,13496,1.5945945945945945,90.40554738044739
10,"(34.473536, -117.55524)","(45.832032, -106.14228)",A_star_harvesine,56526,564668,3.6309961455339437,90.01081037521362
10,"(34.473536, -117.55524)","(45.832032, -106.14228)",A_star_euclidian_distance,55976,564668,3.638598786457041,90.00015354156494
11,"(37.110916, -120.409864)","(44.318324, -112.288452)",BFS,248,14864,2.6956521739130435,90.0282576084137
11,"(37.110916, -120.409864)","(44.318324, -112.288452)",DFS,36,2296,1.894736842105263,10.318666696548462
11,"(37.110916, -120.409864)","(44.318324, -112.288452)",UCS,233,13328,1.9745762711864407,90.10151648521423
11,"(37.110916, -120.409864)","(44.318324, -112.288452)",A_star_harvesine,57775,541796,4.367815525609125,90.01118493080139
11,"(37.110916, -120.409864)","(44.318324, -112.288452)",A_star_euclidian_distance,57559,541796,4.360793419460021,90.00595617294312
12,"(45.618218, -111.067296)","(43.742426, -116.424676)",BFS,215,13016,1.9196428571428572,90.23447370529175
12,"(45.618218, -111.067296)","(43.742426, -116.424676)",DFS,31,2016,1.631578947368421,10.1152184009552
12,"(45.618218, -111.067296)","(43.742426, -116.424676)",UCS,210,12040,2.142857142857143,90.01001477241516
12,"(45.618218, -111.067296)","(43.742426, -116.424676)",A_star_harvesine,60480,544036,6.0268149657241965,90.01477336883545
12,"(45.618218, -111.067296)","(43.742426, -116.424676)",A_star_euclidian_distance,60828,544036,6.000027284385147,90.00236558914185
13,"(34.095608, -117.973498)","(38.479605, -120.207776)",BFS,241,14472,2.0083333333333333,90.49246096611023
13,"(34.095608, -117.973498)","(38.479605, -120.207776)",DFS,35,2240,1.8421052631578947,10.10957145690918
13,"(34.095608, -117.973498)","(38.479605, -120.207776)",UCS,238,13608,1.8888888888888888,90.31659626960754
13,"(34.095608, -117.973498)","(38.479605, -120.207776)",A_star_harvesine,51641,506012,2.851288844035154,90.00599718093872
